v,e,d,odd_v,odd_e,odd_d,result,odd_venc,casa,visitante,partida
0.28,0.25,0.50,4.33,3.25,1.85,e,3.25,314,284,314.284
0.36,0.26,0.33,2.1,3.1,3.6,v,2.1,263,265,263.265
0.52,0.25,0.22,1.44,4,7.25,v,1.44,264,315,264.315
0.54,0.18,0.30,1.35,4.4,9,v,1.35,283,376,283.376
0.36,0.13,0.49,2.6,3.1,2.7,v,2.6,372,293,372.293
0.35,0.26,0.32,3.1,3.1,2.3,d,2.3,373,276,373.276
0.33,0.26,0.47,2.3,3.1,3.1,v,2.3,285,262,285.262
0.64,0.16,0.20,1.5,3.9,6.5,v,1.5,277,266,277.266
0.37,0.31,0.38,2.6,3.1,2.7,d,2.7,267,282,267.282
0.52,0.30,0.38,1.6,3.5,6,v,1.6,265,314,265.314
0.46,0.30,0.24,1.95,3.25,3.8,v,1.95,263,372,263.372
0.33,0.31,0.36,2.3,3.1,3.1,d,3.1,376,282,376.282
0.36,0.46,0.25,2,3.2,3.8,e,3.2,315,293,315.293
0.73,0.12,0.22,1.42,4.1,7.75,v,1.42,283,373,283.373
0.24,0.13,0.62,4.75,3.4,1.75,e,3.4,374,277,374.277
0.62,0.26,0.17,1.44,3.9,7.75,d,7.75,284,266,284.266
0.57,0.26,0.30,1.83,3.4,4.2,e,3.4,276,262,276.262
0.39,0.31,0.51,2.8,3.1,2.5,e,3.1,267,264,267.264
0.31,0.18,0.45,2.15,3,3.5,d,3.5,266,263,266.263
0.28,0.17,0.58,2.7,2.95,2.7,e,2.95,264,284,264.284
0.38,0.50,0.20,2.15,2.9,3.7,v,2.15,373,376,373.376
0.44,0.39,0.15,1.4,4.1,8,v,1.4,262,315,262.315
0.32,0.50,0.18,2.2,3.1,3.3,v,2.2,285,283,285.283
0.76,0.18,0.18,1.4,4.33,7.5,v,1.4,277,267,277.267
0.49,0.23,0.28,3,3,2.4,d,2.4,372,276,372.276
0.43,0.45,0.21,1.7,3.5,4.75,e,3.5,314,374,314.374
0.53,0.22,0.40,1.65,3.6,5,v,1.65,293,265,293.265
0.34,0.30,0.31,2.65,3.1,2.6,v,2.65,266,283,266.283
0.37,0.22,0.32,2.7,3.1,2.6,v,2.7,282,262,282.262
0.42,0.26,0.23,1.67,3.6,5,e,3.6,276,265,276.265
0.54,0.16,0.30,1.28,5,10.5,v,1.28,285,374,285.374
0.36,0.18,0.54,2.05,3.1,3.7,d,3.7,315,372,315.372
0.50,0.21,0.38,2.15,3.1,3.4,v,2.15,373,263,373.263
0.52,0.37,0.28,1.95,3.2,3.9,d,3.9,293,264,293.264
0.32,0.22,0.33,3.5,3.1,2.1,v,3.5,376,284,376.284
0.39,0.36,0.21,1.75,3.4,4.75,e,3.4,267,314,267.314
0.45,0.35,0.22,1.57,3.9,5.25,v,1.57,284,282,284.282
0.39,0.24,0.35,1.95,3.2,4,e,3.2,277,285,277.285
0.66,0.20,0.24,1.36,4.6,7.75,v,1.36,262,293,262.293
0.64,0.27,0.18,1.36,4.33,9,d,9,283,315,283.315
0.50,0.29,0.25,1.85,3.4,4.1,e,3.4,372,267,372.267
0.36,0.40,0.21,2.35,2.9,3.25,v,2.35,264,276,264.276
0.32,0.25,0.41,1.95,3.25,3.9,v,1.95,265,266,265.266
0.39,0.39,0.22,2.15,3.1,3.4,d,3.4,314,376,314.376
0.27,0.18,0.51,2.45,3,2.95,v,2.45,374,373,374.373
0.62,0.25,0.24,1.33,4.6,9,v,1.33,262,372,262.372
0.35,0.23,0.41,2.45,3,2.95,v,2.45,265,284,265.284
0.55,0.30,0.15,2.1,3.2,3.4,v,2.1,263,267,263.267
0.40,0.37,0.32,2.65,3.1,2.65,d,2.65,376,277,376.277
0.31,0.36,0.27,2.05,3,3.8,e,3,276,283,276.283
0.34,0.18,0.27,1.87,3.25,4.25,v,1.87,293,266,293.266
0.65,0.28,0.19,1.36,4.1,9.5,v,1.36,285,314,285.314
0.66,0.17,0.16,1.33,4.75,8.75,v,1.33,282,377,282.377
0.54,0.20,0.26,6,3.5,1.6,d,1.6,315,275,315.275
0.17,0.27,0.57,3,3.1,2.4,v,3,267,285,267.285
0.28,0.21,0.54,1.4,4.2,7.75,v,1.4,275,293,275.293
0.57,0.19,0.43,1.42,4.33,6.75,v,1.42,284,372,284.372
0.52,0.24,0.18,1.72,3.5,4.75,e,3.5,,,
0.37,0.21,0.34,2.45,2.9,3.1,e,2.9,,,
0.32,0.25,0.31,2.9,2.85,2.6,e,2.85,,,
0.43,0.38,0.34,2.75,3,2.6,d,2.6,,,
0.57,0.12,0.36,4.6,3.5,1.72,e,3.5,,,
0.35,0.30,0.41,1.75,3.6,4.33,v,1.75,,,
0.53,0.24,0.26,1.85,3.5,4,,,,,
0.50,0.30,0.10,2.73,3.07,2.7,,,,,
0.29,0.19,0.35,3.67,2.84,2.28,,,,,
0.30,0.12,0.27,1.97,3.08,4.4,,,,,
0.49,0.21,0.17,1.58,3.76,6.1,,,,,
0.32,0.07,0.28,1.23,5.93,11.9,,,,,
0.46,0.21,0.16,1.72,3.4,5,,,,,
0.36,0.21,0.19,1.3,4.5,11,,,,,
0.34,0.19,0.24,1.62,3.7,5.25,,,,,
0.66,0.12,0.08,2.05,3.3,3.4,,,,,
0.45,0.16,0.16,1.75,3.3,4.75,,,,,
0.22,0.14,0.29,1.42,4.33,7,,,,,
0.00,0.00,0.00,2.75,2.9,2.7,,,,,
,,,2.1,3,3.7,,,,,
,,,1.42,4.1,7.5,,,,,
